variant,round_idx,val_loss,val_accuracy,val_macro_f1,n_accepted,n_rejected,n_malicious_total,n_malicious_rejected,tau_effective,ema_alpha_effective
static_tau040,19,1.6599539699129688,0.35723753976670203,0.17383468904974358,5,5,3,2,0.4,0.2
static_tau040,20,1.6289881183385597,0.36452810180275713,0.17881612050740853,5,5,3,3,0.4,0.2
static_tau040,21,1.5999090896557902,0.36784199363732767,0.18088509336604738,5,5,3,3,0.4,0.2
static_tau040,22,1.5722609567490513,0.4176829268292683,0.2544764967129737,5,5,3,2,0.4,0.2
static_tau040,23,1.5459924983068083,0.42112937433722164,0.26073983401405687,5,5,3,2,0.4,0.2
static_tau040,24,1.5271541235429231,0.397932131495228,0.22689317170559872,5,5,3,1,0.4,0.2
static_tau040,25,1.5094640495162754,0.4196712619300106,0.24306921802005854,5,5,3,2,0.4,0.2
static_tau040,26,1.492267127254482,0.4758748674443266,0.2821780091220344,5,5,3,2,0.4,0.2
static_tau040,27,1.476819358979404,0.47560975609756095,0.2807113741235428,5,5,3,2,0.4,0.2
static_tau040,28,1.4642044827895098,0.4847560975609756,0.28810916613905413,5,5,3,2,0.4,0.2
static_tau040,29,1.4542624674824365,0.4848886532343584,0.2897557641099625,5,5,3,2,0.4,0.2
adaptive,0,2.0686677546415195,0.24058854718981973,0.09466794666743487,9,1,3,0,0.3899999999999999,0.2
adaptive,1,2.0492745618931436,0.2602067868504772,0.12209337675459325,9,1,3,0,0.3899999999999999,0.2
adaptive,2,2.0306168330689123,0.27439024390243905,0.13626467437248713,9,1,3,0,0.3899999999999999,0.2
adaptive,3,2.011241269642576,0.28552492046659594,0.1528889167157147,8,2,3,0,0.3899999999999999,0.2
adaptive,4,1.9918727935435032,0.27465535524920465,0.14953943715928275,8,2,3,0,0.3899999999999999,0.2
adaptive,5,1.972032298212466,0.2717391304347826,0.14788987308874865,8,2,3,0,0.3899999999999999,0.2
adaptive,6,1.9513245518867437,0.29878048780487804,0.18795159622025387,8,2,3,0,0.3899999999999999,0.2
adaptive,7,1.9292452540149871,0.37553022269353126,0.2623607777464083,8,2,3,0,0.3899999999999999,0.2
adaptive,8,1.9056675932187417,0.39819724284199365,0.2816044921032128,8,2,3,0,0.3899999999999999,0.2
adaptive,9,1.8799354982022136,0.419406150583245,0.29884241492545255,8,2,3,0,0.3899999999999999,0.2
adaptive,10,1.867405839841161,0.5006627783669141,0.33395398696640816,8,2,3,0,0.3899999999999999,0.2
adaptive,11,1.8537587623960265,0.5220042417815483,0.3342943897090394,9,1,3,0,0.3899999999999999,0.2
adaptive,12,1.8388071393916108,0.4708377518557794,0.29493446467789675,9,1,3,0,0.3899999999999999,0.2
adaptive,13,1.8231490166543776,0.45771474019088015,0.2876687967321748,9,1,3,0,0.3899999999999999,0.2
adaptive,14,1.807132563181419,0.45930540827147404,0.2945771653208132,9,1,3,0,0.3899999999999999,0.2
adaptive,15,1.7905644713125703,0.40124602332979853,0.23918480464896005,9,1,3,0,0.3899999999999999,0.2
adaptive,16,1.7740999062013272,0.39382290562036054,0.22449885178768983,9,1,3,0,0.3899999999999999,0.2
adaptive,17,1.750669809060284,0.3955461293743372,0.2255608028428194,8,2,3,1,0.3899999999999999,0.2
adaptive,18,1.7261036926463704,0.396474019088017,0.223178006335975,7,3,3,2,0.3899999999999999,0.2
adaptive,19,1.7053971841757523,0.3699628844114528,0.18380698358008554,5,5,3,2,0.3899999999999999,0.2
adaptive,20,1.6799710901772105,0.3897136797454931,0.2194949926627519,5,5,3,2,0.3899999999999999,0.2
adaptive,21,1.6585001697722321,0.3897136797454931,0.221402745390247,5,5,3,2,0.3899999999999999,0.2
adaptive,22,1.6401128839713266,0.3870625662778367,0.21947851265229068,5,5,3,2,0.3899999999999999,0.2
adaptive,23,1.626580627700304,0.38096500530222693,0.2133658222394726,5,5,3,1,0.3899999999999999,0.2
adaptive,24,1.5961074020045938,0.3788441145281018,0.2098853510869435,5,5,3,3,0.3899999999999999,0.2
adaptive,25,1.5693443921312673,0.37526511134676566,0.20693841756138137,5,5,3,2,0.3899999999999999,0.2
adaptive,26,1.550860950069488,0.46633085896076354,0.2739608237524793,5,5,3,2,0.3899999999999999,0.2
adaptive,27,1.536738309728758,0.47680275715800635,0.2811065218081086,5,5,3,2,0.3899999999999999,0.2
adaptive,28,1.5217197535525957,0.4801166489925769,0.28513427336003694,5,5,3,2,0.3899999999999999,0.2
adaptive,29,1.5047970040605532,0.4847560975609756,0.2906868643873743,5,5,3,2,0.3899999999999999,0.2
