scenario,seed,test_loss,test_accuracy,test_macro_f1,test_weighted_f1
fedmedian,2024,0.8703121777614479,0.6688255930914354,0.4840489102618477,0.6039509449943868
trimmed_mean,2024,0.8362543674105034,0.6778538308677412,0.504438968307571,0.6219075691696682
krum,2024,1.4356556394957036,0.6152940310591006,0.3822884698156434,0.5339840687830916
bulyan,2024,1.11407743827251,0.6532960427859964,0.4501073516839431,0.5800919380049139
foolsgold,2024,0.7643903726357034,0.6917641863546037,0.5250678305065757,0.6447891570561917
fedavg_he,2024,0.7645175355751361,0.6941439120728147,0.5309090466089005,0.6486384962282842
fedavg_he_fuzzy,2024,0.5309954599942155,0.7442408184293811,0.5823060093486592,0.732720387867086
full_system,2024,0.531642686308508,0.765462083854665,0.5939901995021059,0.7537271951226585
full_system_neuro,2024,0.5297731494199323,0.7525330585608793,0.589716566053651,0.7428604788400298
fedavg,7,0.5050174054937816,0.7696082039204141,0.6068683512574521,0.7636770033050602
fedavg_attack,7,0.8637314406166817,0.639361154044307,0.4508523113766093,0.5716487190476527
fedprox,7,0.8778977256882153,0.6195873506538112,0.4198959174787176,0.539805110659761
fedmedian,7,0.7239305507399459,0.6670591987438974,0.49585270482539046,0.6164251428461739
trimmed_mean,7,0.7161168887644976,0.6653418709060132,0.4908728565285211,0.6137839218626694
krum,7,0.6750060611394585,0.6924756507445843,0.5251214804429563,0.6466635068433219
bulyan,7,0.7484379246600994,0.6722847820220309,0.5039096248240776,0.6202508362370354
foolsgold,7,0.957061139422583,0.724221682490616,0.5100784067343223,0.6802632857974314
fedavg_he,7,0.8580584713352876,0.6402443512180761,0.4535237216719166,0.5734584328840058
fedavg_he_fuzzy,7,0.5665108143138317,0.7070484041117735,0.5377621975378801,0.6727947963002144
full_system,7,0.5131486364074365,0.7694610043914526,0.6055864868626761,0.7632098730021755
full_system_neuro,7,0.5329889172219232,0.7360221780623636,0.5735028574698158,0.7197714828762808
fedavg,2025,0.5131908890391551,0.7698290032138564,0.6051064204307242,0.7632145489529342
fedavg_attack,2025,1.1547156233995886,0.6356811658202693,0.4567584403915383,0.56164793141304
fedprox,2025,1.4544139661878082,0.637889158754692,0.46735254723919273,0.5704564383526886
fedmedian,2025,0.9690871989860674,0.6500576531488432,0.46734602952782983,0.5748934558857561
trimmed_mean,2025,1.0115659083015935,0.6461323323765364,0.46087205203511555,0.5703039944592819
krum,2025,0.8164218303537887,0.673413311744069,0.49798154994624455,0.6028674161228845
bulyan,2025,0.6229480314686431,0.6810922205048944,0.5057384611621054,0.6139491526860371
foolsgold,2025,0.6087593776210333,0.6794484924314909,0.5045264543376184,0.6117831063719751
fedavg_he,2025,1.103932315984297,0.6353131669978656,0.4563946914823506,0.5608607223623985
fedavg_he_fuzzy,2025,0.5411074607412819,0.7587890385417433,0.5958252473032142,0.7458344679822237
full_system,2025,0.5153140203310724,0.7790780402836044,0.6035630537485666,0.7740185668206507
full_system_neuro,2025,0.5077269405732693,0.7830278943107382,0.6148033429324027,0.774302175485968
