seed,scenario,round_idx,client_id,n_samples,loss_before,loss_after,train_time_sec,is_malicious,raw_trust,smoothed_trust,agg_weight,accepted
2025,bulyan,3,0,13864,0.10392354023349952,0.04784746168840159,0.4935121536254883,False,1.0,1.0,0.1,True
2025,bulyan,3,1,15097,0.3553963113819723,0.19432996949265474,0.534935712814331,False,1.0,1.0,0.1,True
2025,bulyan,3,2,19138,0.42937324683436257,0.2374629187464328,0.7265486717224121,False,1.0,1.0,0.1,True
2025,bulyan,3,3,31719,0.9908188296794787,0.4659911604151456,1.2744503021240234,True,1.0,1.0,0.1,True
2025,bulyan,3,4,19352,0.7555369061593824,0.5769196600892318,0.6746737957000732,False,1.0,1.0,0.1,True
2025,bulyan,3,5,23933,1.679234389186289,0.44933132464481357,0.8271694183349609,False,1.0,1.0,0.1,True
2025,bulyan,3,6,9319,0.3881446200611126,0.15244535317824165,0.34026241302490234,False,1.0,1.0,0.1,True
2025,bulyan,3,7,12058,0.9864220994288776,0.1281142535297051,0.4409482479095459,False,1.0,1.0,0.1,True
2025,bulyan,3,8,21599,0.8533363802697163,0.34961776651865994,0.7568619251251221,True,1.0,1.0,0.1,True
2025,bulyan,3,9,24134,1.2677243228103703,0.5175250413834313,0.8547117710113525,True,1.0,1.0,0.1,True
2025,bulyan,4,0,13864,0.10213021965416882,0.046010070501365075,0.5028574466705322,False,1.0,1.0,0.1,True
2025,bulyan,4,1,15097,0.3503919854624947,0.19287820888322071,0.5633115768432617,False,1.0,1.0,0.1,True
2025,bulyan,4,2,19138,0.40900157087897415,0.23512295088912266,0.7205533981323242,False,1.0,1.0,0.1,True
2025,bulyan,4,3,31719,0.8386057199857256,0.46698594458252984,1.088801383972168,True,1.0,1.0,0.1,True
2025,bulyan,4,4,19352,0.7107092623328216,0.5710910162486139,0.8005478382110596,False,1.0,1.0,0.1,True
2025,bulyan,4,5,23933,1.5759473444251646,0.44323768367994665,0.8661141395568848,False,1.0,1.0,0.1,True
2025,bulyan,4,6,9319,0.38897258551134317,0.15050805131820333,0.3502218723297119,False,1.0,1.0,0.1,True
2025,bulyan,4,7,12058,0.8159581334520917,0.12527452438061343,0.43352484703063965,False,1.0,1.0,0.1,True
2025,bulyan,4,8,21599,0.7307722592824057,0.34889867913254413,0.7889559268951416,True,1.0,1.0,0.1,True
2025,bulyan,4,9,24134,1.091787848277387,0.5152526622068677,0.835956335067749,True,1.0,1.0,0.1,True
2025,bulyan,5,0,13864,0.10721043848571789,0.05106911032186016,0.5578086376190186,False,1.0,1.0,0.1,True
2025,bulyan,5,1,15097,0.3375960965184034,0.190463950011267,0.6559624671936035,False,1.0,1.0,0.1,True
2025,bulyan,5,2,19138,0.4329365235235091,0.23241053536426862,0.6673488616943359,False,1.0,1.0,0.1,True
2025,bulyan,5,3,31719,0.8273139850064798,0.4615950879700687,1.0847790241241455,True,1.0,1.0,0.1,True
2025,bulyan,5,4,19352,0.7042598432625261,0.5671081045236702,0.7310731410980225,False,1.0,1.0,0.1,True
2025,bulyan,5,5,23933,1.4208169239630188,0.43945372337255556,0.9582452774047852,False,1.0,1.0,0.1,True
2025,bulyan,5,6,9319,0.36922872584896393,0.14895885646477547,0.3431878089904785,False,1.0,1.0,0.1,True
2025,bulyan,5,7,12058,0.7905470199362716,0.12343036193696594,0.4336974620819092,False,1.0,1.0,0.1,True
2025,bulyan,5,8,21599,0.7327937088778098,0.3454486622477114,0.8641765117645264,True,1.0,1.0,0.1,True
2025,bulyan,5,9,24134,1.0429124712124078,0.5079287554686848,0.8365514278411865,True,1.0,1.0,0.1,True
2025,bulyan,6,0,13864,0.11259908638400146,0.053053004924042406,0.5413570404052734,False,1.0,1.0,0.1,True
2025,bulyan,6,1,15097,0.34168246885700054,0.18770344922651067,0.5368657112121582,False,1.0,1.0,0.1,True
2025,bulyan,6,2,19138,0.4185119396012733,0.23026727116124135,0.7381021976470947,False,1.0,1.0,0.1,True
2025,bulyan,6,3,31719,0.7739891790344735,0.46239725538797266,1.1081733703613281,True,1.0,1.0,0.1,True
2025,bulyan,6,4,19352,0.6858627291295389,0.5643613591525317,0.8128886222839355,False,1.0,1.0,0.1,True
2025,bulyan,6,5,23933,1.3565481252946832,0.4374859151195973,0.8286359310150146,False,1.0,1.0,0.1,True
2025,bulyan,6,6,9319,0.3758614798423136,0.1470756810492284,0.34168148040771484,False,1.0,1.0,0.1,True
2025,bulyan,6,7,12058,0.7299269642436815,0.12020364892109055,0.43880796432495117,False,1.0,1.0,0.1,True
2025,bulyan,6,8,21599,0.6874696261612672,0.34736033653328774,0.8733434677124023,True,1.0,1.0,0.1,True
2025,bulyan,6,9,24134,0.9749925552568747,0.5075111983848248,0.8933203220367432,True,1.0,1.0,0.1,True
2025,bulyan,7,0,13864,0.11739442006948705,0.045072137455005074,0.577465295791626,False,1.0,1.0,0.1,True
2025,bulyan,7,1,15097,0.3372151272090972,0.18676285695506933,0.5319857597351074,False,1.0,1.0,0.1,True
2025,bulyan,7,2,19138,0.4133600264473113,0.22902233040760098,0.6650228500366211,False,1.0,1.0,0.1,True
2025,bulyan,7,3,31719,0.7670497904077462,0.46246543161907155,1.378295660018921,True,1.0,1.0,0.1,True
2025,bulyan,7,4,19352,0.6769559581745948,0.5595130309333186,0.7533576488494873,False,1.0,1.0,0.1,True
2025,bulyan,7,5,23933,1.3211385196765406,0.4356650940898627,0.849252462387085,False,1.0,1.0,0.1,True
2025,bulyan,7,6,9319,0.37762390458797457,0.14645239139162225,0.3375391960144043,False,1.0,1.0,0.1,True
2025,bulyan,7,7,12058,0.7221150695239554,0.11878903605863217,0.4516580104827881,False,1.0,1.0,0.1,True
2025,bulyan,7,8,21599,0.6810517879519022,0.3422148729663264,0.7510125637054443,True,1.0,1.0,0.1,True
2025,bulyan,7,9,24134,0.9613838889105492,0.5086616423606793,0.9431402683258057,True,1.0,1.0,0.1,True
2025,bulyan,8,0,13864,0.12017632832571185,0.05138550837730061,0.5859310626983643,False,1.0,1.0,0.1,True
2025,bulyan,8,1,15097,0.3379364961041057,0.18531887288629562,0.6531145572662354,False,1.0,1.0,0.1,True
2025,bulyan,8,2,19138,0.4177774581643578,0.22961565785048485,0.6710662841796875,False,1.0,1.0,0.1,True
2025,bulyan,8,3,31719,0.768577937259549,0.4641414091135245,1.1377332210540771,True,1.0,1.0,0.1,True
2025,bulyan,8,4,19352,0.6791407446715397,0.5544514355456449,0.6765987873077393,False,1.0,1.0,0.1,True
2025,bulyan,8,5,23933,1.2974130700585218,0.431037109442482,0.8844101428985596,False,1.0,1.0,0.1,True
2025,bulyan,8,6,9319,0.36257977725955753,0.14574691860882916,0.3470604419708252,False,1.0,1.0,0.1,True
2025,bulyan,8,7,12058,0.7225015349383377,0.11777202358914561,0.46957921981811523,False,1.0,1.0,0.1,True
2025,bulyan,8,8,21599,0.6846679275392068,0.34037868060625903,0.7526202201843262,True,1.0,1.0,0.1,True
2025,bulyan,8,9,24134,0.9574719158569979,0.5040394947361292,0.8926687240600586,True,1.0,1.0,0.1,True
2025,bulyan,9,0,13864,0.12982713819341168,0.046161511258382845,0.501514196395874,False,1.0,1.0,0.1,True
2025,bulyan,9,1,15097,0.33618403112974404,0.18585637660009022,0.5301754474639893,False,1.0,1.0,0.1,True
2025,bulyan,9,2,19138,0.4168465540337829,0.22735168632637284,0.8621208667755127,False,1.0,1.0,0.1,True
2025,bulyan,9,3,31719,0.7212534072893806,0.4586033503633568,1.138197898864746,True,1.0,1.0,0.1,True
2025,bulyan,9,4,19352,0.6639676633675564,0.5520277738620447,0.862769603729248,False,1.0,1.0,0.1,True
2025,bulyan,9,5,23933,1.2762455377198987,0.4277938278712217,1.3035902976989746,False,1.0,1.0,0.1,True
2025,bulyan,9,6,9319,0.37858807362639246,0.14491771904935344,0.5040194988250732,False,1.0,1.0,0.1,True
2025,bulyan,9,7,12058,0.6644831331813488,0.1165371258500738,0.6624054908752441,False,1.0,1.0,0.1,True
2025,bulyan,9,8,21599,0.6458914697134382,0.3395631972482521,1.1779820919036865,True,1.0,1.0,0.1,True
2025,bulyan,9,9,24134,0.9040172568082394,0.5006302941148774,1.3222579956054688,True,1.0,1.0,0.1,True
2025,bulyan,10,0,13864,0.13083296778853135,0.052668198031699524,0.750300407409668,False,1.0,1.0,0.1,True
2025,bulyan,10,1,15097,0.3390849382405787,0.1843254535387484,0.8338420391082764,False,1.0,1.0,0.1,True
2025,bulyan,10,2,19138,0.4119042311576557,0.22694712515061197,1.084596872329712,False,1.0,1.0,0.1,True
2025,bulyan,10,3,31719,0.7580025004496463,0.4584356202555769,1.7897186279296875,True,1.0,1.0,0.1,True
2025,bulyan,10,4,19352,0.6721264876428347,0.5503629079383481,1.078998327255249,False,1.0,1.0,0.1,True
2025,bulyan,10,5,23933,1.2729537658873111,0.4292089756727169,1.3214402198791504,False,1.0,1.0,0.1,True
2025,bulyan,10,6,9319,0.35881123009420335,0.1438172630168604,0.49619531631469727,False,1.0,1.0,0.1,True
2025,bulyan,10,7,12058,0.7100047355248652,0.11501314434434351,0.6655879020690918,False,1.0,1.0,0.1,True
2025,bulyan,10,8,21599,0.6745715827526629,0.3390220575911827,1.1778719425201416,True,1.0,1.0,0.1,True
2025,bulyan,10,9,24134,0.9418887280435879,0.5012495704541657,1.338994026184082,True,1.0,1.0,0.1,True
2025,bulyan,11,0,13864,0.14067135836372333,0.05133048962077273,0.7551515102386475,False,1.0,1.0,0.1,True
2025,bulyan,11,1,15097,0.34138789242163725,0.18309410790710282,0.8277578353881836,False,1.0,1.0,0.1,True
2025,bulyan,11,2,19138,0.4108497463980368,0.22675778394533258,1.0386631488800049,False,1.0,1.0,0.1,True
2025,bulyan,11,3,31719,0.7149096366631481,0.4581750621880291,1.7553658485412598,True,1.0,1.0,0.1,True
2025,bulyan,11,4,19352,0.6604925866657271,0.5487201059589015,1.06441330909729,False,1.0,1.0,0.1,True
2025,bulyan,11,5,23933,1.2322493707750661,0.42812435079601163,1.3121235370635986,False,1.0,1.0,0.1,True
2025,bulyan,11,6,9319,0.3738335042453168,0.14367317192057374,0.5085029602050781,False,1.0,1.0,0.1,True
2025,bulyan,11,7,12058,0.6563762577439367,0.11290804933781924,0.6514105796813965,False,1.0,1.0,0.1,True
2025,bulyan,11,8,21599,0.63957302742487,0.34033945942538785,1.2227730751037598,True,1.0,1.0,0.1,True
2025,bulyan,11,9,24134,0.8875170323352208,0.4988079250693627,1.3458151817321777,True,1.0,1.0,0.1,True
2025,bulyan,12,0,13864,0.14389365533150764,0.0484757510825897,0.7784104347229004,False,1.0,1.0,0.1,True
2025,bulyan,12,1,15097,0.33413105127021336,0.18354005822521366,0.838947057723999,False,1.0,1.0,0.1,True
2025,bulyan,12,2,19138,0.411595310623811,0.22982983890995234,1.0297019481658936,False,1.0,1.0,0.1,True
