seed,scenario,aggregation_method,use_he,use_fuzzy,use_zt,round_idx,train_loss_avg,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,n_accepted,n_rejected,n_malicious_total,n_malicious_rejected,time_local_train_sec,time_encrypt_sec,time_aggregate_sec,time_decrypt_sec,time_fuzzy_sec,time_total_sec,he_ciphertext_bytes
2024,foolsgold,foolsgold,False,False,False,8,0.35457968997376604,0.8007500076668302,0.65851324828263,0.4895675259591813,0.5962827633341984,10,0,3,0,11.162865400314331,0.0,0.0008852481842041016,0.0,0.0,11.454273223876953,0
2024,foolsgold,foolsgold,False,False,False,9,0.3528735682240919,0.7816650555342055,0.6645976447497547,0.49769017569212626,0.6084467468239528,10,0,3,0,10.105568170547485,0.0,0.0007288455963134766,0.0,0.0,10.4316885471344,0
2024,foolsgold,foolsgold,False,False,False,10,0.3505020723693289,0.77724372781411,0.6693326790971541,0.5040378524250078,0.6165658557848642,10,0,3,0,10.099212884902954,0.0,0.0008838176727294922,0.0,0.0,10.380396604537964,0
2024,foolsgold,foolsgold,False,False,False,11,0.3488473165818938,0.7869614695660383,0.6711972522080472,0.5086102760739681,0.6214960915614923,10,0,3,0,9.962167263031006,0.0,0.0007336139678955078,0.0,0.0,10.268156290054321,0
2024,foolsgold,foolsgold,False,False,False,12,0.3477535347860182,0.7993199536564072,0.6710009813542689,0.5091110853864984,0.6223164235578736,10,0,3,0,10.41141128540039,0.0,0.0007293224334716797,0.0,0.0,10.714315414428711,0
2024,foolsgold,foolsgold,False,False,False,13,0.3475122184861238,0.8141094773042659,0.6710255152109912,0.5117384068898825,0.6238174088008656,10,0,3,0,10.06867504119873,0.0,0.0007314682006835938,0.0,0.0,10.365747690200806,0
2024,foolsgold,foolsgold,False,False,False,14,0.346427401369548,0.8196655168617556,0.6710009813542689,0.5083933791784987,0.6240861811761338,10,0,3,0,9.883245944976807,0.0,0.0008957386016845703,0.0,0.0,10.177798986434937,0
2024,foolsgold,foolsgold,False,False,False,15,0.34546955920230143,0.803217370329942,0.6782139352306182,0.5175288248838541,0.632288504145005,10,0,3,0,9.99078893661499,0.0,0.0007183551788330078,0.0,0.0,10.255015850067139,0
2024,foolsgold,foolsgold,False,False,False,16,0.34340410441822994,0.7726095437301621,0.6850098135426889,0.5254161605395298,0.6400876497405582,10,0,3,0,9.999204635620117,0.0,0.0007290840148925781,0.0,0.0,10.27324914932251,0
2024,foolsgold,foolsgold,False,False,False,17,0.3427866951266131,0.7712889052700833,0.6822374877330717,0.5214669261071878,0.634819542067721,10,0,3,0,9.812779664993286,0.0,0.0007271766662597656,0.0,0.0,10.290470838546753,0
2024,foolsgold,foolsgold,False,False,False,18,0.34220745271470426,0.7856848854312017,0.6808635917566241,0.5188550191639624,0.6324238002682727,10,0,3,0,10.247889518737793,0.0,0.0008845329284667969,0.0,0.0,10.57394790649414,0
2024,foolsgold,foolsgold,False,False,False,19,0.3413445418396888,0.7800263259782876,0.6828753680078509,0.523985461173827,0.6351676161842996,10,0,3,0,10.442491292953491,0.0,0.0007326602935791016,0.0,0.0,10.749048233032227,0
